article_id,title,category,pv,avg_time_sec,published_at
1001,福岡市長選挙の結果,政治,12400,95,2026-06-01
1002,博多祇園山笠2026,イベント,8300,142,2026-06-02
1003,九州豪雨の影響,社会,21000,180,2026-06-03
1004,西日本鉄道の新路線計画,経済,5600,88,2026-06-04
1005,福岡市の人口が増加,社会,9800,110,2026-06-05
1006,九州大学が新研究発表,教育,3200,200,2026-06-06
1007,天神ビッグバン最新状況,経済,7400,130,2026-06-07
1008,梅雨入りと今後の見通し,気象,15200,75,2026-06-08
1009,福岡県知事の会見,政治,6100,95,2026-06-09
1010,博多港クルーズ船入港再開,観光,4500,160,2026-06-10
1011,九電の電気料金改定,経済,8900,105,2026-06-11
1012,福岡市内の交通渋滞対策,社会,6700,90,2026-06-12
1013,高校野球福岡大会開幕,スポーツ,11200,120,2026-06-13
1014,大濠公園リニューアル計画,イベント,5100,175,2026-06-14
1015,物価上昇の家計への影響,経済,13500,135,2026-06-15
1016,福岡市のAI活用推進,テクノロジー,4800,210,2026-06-16
1017,警固断層の調査結果,社会,18700,165,2026-06-01
1018,九州新幹線の利用者増加,経済,6300,88,2026-06-03
1019,福岡城跡の発掘調査,文化,3900,230,2026-06-05
1020,PayPayドームの改修計画,スポーツ,9200,145,2026-06-07
